follower_id,followee_id,intensity
4,2,1
2,4,1
6,2,1
6,4,1
8,2,1
8,4,1
8,6,1
6,10,1
10,6,1
12,10,1
8,10,1
8,12,1
6,8,1
12,4,1
6,12,1
16,4,1
16,6,1
16,14,1
2,20,1
22,4,1
22,12,1
22,10,1
24,2,1
12,2,1
12,6,1
12,24,1
26,12,1
26,22,1
26,10,1
26,4,1
6,24,1
6,26,1
28,8,1
28,24,1
6,28,1
24,12,1
24,28,1
24,4,1
24,8,1
30,28,1
4,6,1
4,8,1
4,12,1
4,22,1
4,24,1
4,26,1
30,26,1
12,22,1
10,26,1
10,4,1
10,2,1
10,30,1
10,28,1
10,24,1
10,8,1
10,22,1
10,16,1
12,36,1
10,12,1
10,36,1
22,26,1
38,4,1
40,4,1
40,6,1
40,38,1
40,24,1
40,32,1
40,2,1
40,28,1
40,22,1
38,40,1
38,22,1
12,42,1
42,26,1
42,12,1
42,22,1
22,42,1
36,12,1
10,42,1
4,40,1
44,2,1
46,2,1
2,46,1
46,44,1
44,46,1
44,40,1
40,44,1
50,44,1
50,28,1
50,38,1
50,24,1
50,32,1
50,34,1
50,4,1
50,22,1
50,10,1
50,46,1
50,14,1
34,50,1
10,40,1
10,52,1
56,2,1
56,20,1
60,58,1
58,60,1
58,56,1
58,24,1
10,56,1
10,32,1
10,34,1
12,40,1
12,52,1
12,44,1
12,28,1
12,38,1
12,62,1
26,42,1
12,32,1
12,34,1
12,20,1
12,58,1
102,266,1
106,146,1
268,100,1
268,110,1
268,144,1
64,188,1
324,42,1
268,10,1
198,26,1
198,154,1
12,26,1
12,60,1
2,6,1
106,160,1
268,102,1
268,104,1
268,106,1
268,118,1
268,154,1
268,212,1
64,36,1
64,164,1
64,42,1
64,100,1
64,116,1
64,220,1
294,292,1
294,296,1
116,268,1
198,130,1
368,98,1
368,266,1
368,94,1
216,10,1
380,394,1
180,164,1
442,160,1
442,230,1
62,70,1
62,46,1
454,462,1
464,402,1
912,26,1
12,604,1
482,4,1
486,484,1
36,376,1
36,400,1
36,466,1
196,22,1
36,236,1
36,56,1
36,86,1
36,156,1
196,132,1
196,82,1
196,142,1
268,612,1
196,190,1
196,490,1
500,282,1
4,70,1
4,374,1
526,12,1
522,196,1
196,522,1
12,526,1
12,498,1
38,128,1
546,162,1
188,368,1
548,540,1
12,550,1
560,500,1
64,410,1
268,422,1
268,430,1
36,606,1
36,580,1
480,6,1
44,12,1
452,196,1
604,196,1
612,338,1
546,154,1
196,612,1
292,566,1
476,86,1
624,26,1
452,628,1
196,530,1
196,586,1
196,140,1
642,42,1
652,26,1
50,480,1
134,660,1
264,36,1
492,146,1
12,694,1
726,26,1
716,108,1
690,688,1
12,692,1
726,264,1
906,288,1
196,216,1
428,130,1
926,916,1
946,12,1
960,942,1
574,42,1
12,972,1
12,932,1
12,684,1
12,686,1
986,42,1
662,98,1
662,154,1
158,368,1
196,1008,1
196,990,1
196,994,1
42,162,1
42,304,1
12,672,1
12,942,1
180,64,1
180,188,1
180,192,1
180,232,1
134,180,1
188,180,1
38,1044,1
22,1044,1
42,1050,1
1060,42,1
1056,42,1
300,516,1
196,1036,1
268,702,1
12,48,1
106,162,1
268,108,1
268,94,1
268,98,1
370,372,1
958,492,1
268,198,1
268,136,1
268,160,1
268,220,1
294,298,1
116,26,1
198,194,1
364,108,1
368,146,1
94,12,1
270,98,1
212,268,1
380,396,1
180,12,1
394,402,1
410,378,1
412,36,1
442,302,1
442,144,1
